realisation,NoEvents,NoTriggers,MaxTriggersYear,TriggerPerYear,YearsPerTrigger
384.0,101.0,3.0,1.0,0.15,6.666666666666667
385.0,106.0,3.0,1.0,0.15,6.666666666666667
386.0,109.0,3.0,1.0,0.15,6.666666666666667
387.0,108.0,3.0,1.0,0.15,6.666666666666667
388.0,118.0,4.0,1.0,0.2,5.0
389.0,113.0,4.0,1.0,0.2,5.0
390.0,119.0,4.0,1.0,0.2,5.0
391.0,119.0,4.0,1.0,0.2,5.0
392.0,116.0,3.0,1.0,0.15,6.666666666666667
393.0,126.0,3.0,1.0,0.15,6.666666666666667
394.0,127.0,3.0,1.0,0.15,6.666666666666667
395.0,128.0,3.0,1.0,0.15,6.666666666666667
396.0,126.0,3.0,1.0,0.15,6.666666666666667
397.0,127.0,4.0,1.0,0.2,5.0
398.0,127.0,4.0,1.0,0.2,5.0
399.0,131.0,4.0,1.0,0.2,5.0
400.0,134.0,4.0,1.0,0.2,5.0
401.0,141.0,5.0,1.0,0.25,4.0
402.0,149.0,5.0,1.0,0.25,4.0
403.0,152.0,5.0,1.0,0.25,4.0
404.0,155.0,6.0,1.0,0.3,3.3333333333333335
405.0,158.0,6.0,1.0,0.3,3.3333333333333335
406.0,162.0,6.0,1.0,0.3,3.3333333333333335
407.0,164.0,7.0,1.0,0.35,2.857142857142857
408.0,159.0,7.0,1.0,0.35,2.857142857142857
409.0,162.0,7.0,1.0,0.35,2.857142857142857
410.0,155.0,7.0,1.0,0.35,2.857142857142857
411.0,153.0,7.0,1.0,0.35,2.857142857142857
412.0,144.0,7.0,1.0,0.35,2.857142857142857
413.0,139.0,7.0,1.0,0.35,2.857142857142857
414.0,135.0,7.0,1.0,0.35,2.857142857142857
415.0,131.0,7.0,1.0,0.35,2.857142857142857
416.0,132.0,7.0,1.0,0.35,2.857142857142857
417.0,129.0,6.0,1.0,0.3,3.3333333333333335
418.0,128.0,6.0,1.0,0.3,3.3333333333333335
419.0,126.0,5.0,1.0,0.25,4.0
420.0,125.0,4.0,1.0,0.2,5.0
421.0,128.0,3.0,1.0,0.15,6.666666666666667
422.0,123.0,4.0,1.0,0.2,5.0
423.0,124.0,5.0,1.0,0.25,4.0
424.0,123.0,4.0,1.0,0.2,5.0
425.0,118.0,4.0,1.0,0.2,5.0
426.0,115.0,4.0,1.0,0.2,5.0
